param	value	feature	signal_count	sm_count	mean_signal	mean_sm	delta_mean	ks
rinv	0.2	jet_pt	24774	30000	398.4118892565647	487.25149151872273	-88.83960226215805	0.17587283442318558
rinv	0.2	jet_eta	24774	30000	-0.001048170253217664	0.0028368715081745553	-0.0038850417613922193	0.0163269637523209
rinv	0.2	jet_phi	24774	30000	0.020890830254789303	-0.005573648197962159	0.02646447845275146	0.009290611124566084
rinv	0.2	jet_m	24774	30000	31.496171908559695	30.899782081346054	0.5963898272136419	0.0692294017922015
rinv	0.2	jet_e	24774	30000	664.804175848735	811.6971885243709	-146.89301267563587	0.1724599580205054
rinv	0.3	jet_pt	97341	30000	344.2633670677176	487.25149151872273	-142.98812445100515	0.22491300685219995
rinv	0.3	jet_eta	97341	30000	0.0021853555742052384	0.0028368715081745553	-0.0006515159339693169	0.019772156645195715
rinv	0.3	jet_phi	97341	30000	0.0033654564484289933	-0.005573648197962159	0.008939104646391152	0.00485367522421179
rinv	0.3	jet_m	97341	30000	26.541785292302404	30.899782081346054	-4.35799678904365	0.11250358327939919
rinv	0.3	jet_e	97341	30000	567.9316844763522	811.6971885243709	-243.76550404801867	0.24203764806196776
rinv	0.8	jet_pt	21287	30000	105.39532148510088	487.25149151872273	-381.8561700336219	0.573905635677487
rinv	0.8	jet_eta	21287	30000	0.011086158208179792	0.0028368715081745553	0.008249286700005236	0.022043458448818526
rinv	0.8	jet_phi	21287	30000	0.00588271345897398	-0.005573648197962159	0.01145636165693614	0.006397455410970698
rinv	0.8	jet_m	21287	30000	7.463799443363907	30.899782081346054	-23.435982637982146	0.5874919089898373
rinv	0.8	jet_e	21287	30000	176.86235500386664	811.6971885243709	-634.8348335205042	0.6001717182631026
