param	value	feature	signal_count	sm_count	mean_signal	mean_sm	delta_mean	ks
alpha	high	jet_pt	26469	30000	288.2064537788943	487.25149151872273	-199.04503773982844	0.29178684498847707
alpha	high	jet_eta	26469	30000	0.00757807627269427	0.0028368715081745553	0.0047412047645197155	0.02670721976651931
alpha	high	jet_phi	26469	30000	0.023945532860677743	-0.005573648197962159	0.029519181058639904	0.010418168423438734
alpha	high	jet_m	26469	30000	26.904084255505868	30.899782081346054	-3.9956978258401854	0.17552173108164265
alpha	high	jet_e	26469	30000	466.93314000744635	811.6971885243709	-344.7640485169245	0.32615710453738334
alpha	low	jet_pt	21860	30000	398.183543128234	487.25149151872273	-89.06794839048871	0.1341643488868558
alpha	low	jet_eta	21860	30000	0.000395569135351129	0.0028368715081745553	-0.0024413023728234264	0.014112961268679447
alpha	low	jet_phi	21860	30000	-0.010017079353422456	-0.005573648197962159	-0.004443431155460297	0.005861421164989333
alpha	low	jet_m	21860	30000	15.16658910466608	30.899782081346054	-15.733192976679973	0.37641497407746266
alpha	low	jet_e	21860	30000	669.2421936530974	811.6971885243709	-142.45499487127347	0.1432534614211649
alpha	peak	jet_pt	95073	30000	308.09922784362993	487.25149151872273	-179.1522636750928	0.2542066159687819
alpha	peak	jet_eta	95073	30000	0.0022458230487341366	0.0028368715081745553	-0.0005910484594404187	0.018610460383074123
alpha	peak	jet_phi	95073	30000	0.005843201452109347	-0.005573648197962159	0.011416849650071507	0.004936077540416306
alpha	peak	jet_m	95073	30000	26.075816896117388	30.899782081346054	-4.823965185228666	0.10405814269035374
alpha	peak	jet_e	95073	30000	510.4380640764746	811.6971885243709	-301.2591244478963	0.2787296551071282
