source,config_name,config,target_dataset,target_name,is_source,is_cross_mDark,gen_auc,gen_pr_auc,sig_eff_at_1pct,stability_kl,stability_js,clean_auc,robust_auc,robustness_score,config_mean_auc,config_min_auc,config_min_to_mean_ratio,config_gen_gap
mDark-1_rinv-0.2_alpha-peak,baseline,,AutomatedCMS_mZprime-2000_mDark-1_rinv-0.2_alpha-peak.h5,mDark-1_rinv-0.2_alpha-peak,True,False,0.7255554302530395,0.6597930244381042,0.05284186106457018,0.0,0.0,0.725556492805481,0.6493852734565735,0.8950168317640171,0.6854894322694083,0.5759947521766623,0.8402678802352231,0.040065997983631196
mDark-1_rinv-0.2_alpha-peak,baseline,,AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-high.h5,mDark-1_rinv-0.3_alpha-high,False,False,0.7134283529447352,0.6675170737770586,0.07202274720953447,0.005868977021959869,0.0015316742893817117,0.7134561538696289,0.7019405961036682,0.983859473769337,0.6854894322694083,0.5759947521766623,0.8402678802352231,0.040065997983631196
mDark-1_rinv-0.2_alpha-peak,baseline,,AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-low.h5,mDark-1_rinv-0.3_alpha-low,False,False,0.5759947521766623,0.5339879412931875,0.07372683496279002,0.01598710147762019,0.0039031934194631015,0.5759606957435608,0.5175113081932068,0.8985184440842855,0.6854894322694083,0.5759947521766623,0.8402678802352231,0.040065997983631196
mDark-1_rinv-0.2_alpha-peak,baseline,,AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-peak.h5,mDark-1_rinv-0.3_alpha-peak,False,False,0.7315584842357523,0.6631346498551272,0.05395256282697307,0.0014274191671408856,0.0003611922743636981,0.7314983010292053,0.6771043539047241,0.9256403643754881,0.6854894322694083,0.5759947521766623,0.8402678802352231,0.040065997983631196
mDark-1_rinv-0.2_alpha-peak,baseline,,AutomatedCMS_mZprime-2000_mDark-1_rinv-0.8_alpha-peak.h5,mDark-1_rinv-0.8_alpha-peak,False,False,0.6878814029563544,0.5755887882460181,0.056977921055590956,0.006877767670008267,0.0017971437631809349,0.687887966632843,0.7599639296531677,1.1047786362263767,0.6854894322694083,0.5759947521766623,0.8402678802352231,0.040065997983631196
mDark-1_rinv-0.2_alpha-peak,baseline,,AutomatedCMS_mZprime-2000_mDark-5_rinv-0.3_alpha-peak.h5,mDark-5_rinv-0.3_alpha-peak,False,True,0.7185841690335372,0.6169151044771355,0.011127075884652655,0.008326489476147789,0.001867633999592602,0.7185359597206116,0.6952490210533142,0.9675911297795701,0.6854894322694083,0.5759947521766623,0.8402678802352231,0.040065997983631196
mDark-1_rinv-0.2_alpha-peak,best_avg_alpha-0.2,"{'alpha': 0.2, 'grad_eps': 0.5, 'grad_iter': 20, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.2_alpha-peak.h5,mDark-1_rinv-0.2_alpha-peak,True,False,0.6543125175065515,0.5782924185122249,0.029836319113287796,0.0,0.0,0.6543235182762146,0.6274785995483398,0.9589730187314733,0.612431869615225,0.4988932963665548,0.8146102793115525,0.041880647891326506
mDark-1_rinv-0.2_alpha-peak,best_avg_alpha-0.2,"{'alpha': 0.2, 'grad_eps': 0.5, 'grad_iter': 20, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-high.h5,mDark-1_rinv-0.3_alpha-high,False,False,0.642788351331458,0.5895816532440954,0.03200338788227109,0.0077712363887847725,0.002005198266996513,0.6426956057548523,0.675693929195404,1.0513436269753158,0.612431869615225,0.4988932963665548,0.8146102793115525,0.041880647891326506
mDark-1_rinv-0.2_alpha-peak,best_avg_alpha-0.2,"{'alpha': 0.2, 'grad_eps': 0.5, 'grad_iter': 20, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-low.h5,mDark-1_rinv-0.3_alpha-low,False,False,0.4988932963665548,0.4610079491274047,0.031920326864147086,0.032247028681962706,0.008453064022744353,0.4989570677280426,0.49549153447151184,0.9930544460021165,0.612431869615225,0.4988932963665548,0.8146102793115525,0.041880647891326506
mDark-1_rinv-0.2_alpha-peak,best_avg_alpha-0.2,"{'alpha': 0.2, 'grad_eps': 0.5, 'grad_iter': 20, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-peak.h5,mDark-1_rinv-0.3_alpha-peak,False,False,0.6649741006301421,0.5826642130241093,0.027891003626793337,0.0011214579540683891,0.00027924752602761246,0.6649117469787598,0.654609203338623,0.9845053968636445,0.612431869615225,0.4988932963665548,0.8146102793115525,0.041880647891326506
