config_name,config,target_dataset,is_source,gen_auc,gen_pr_auc,sig_eff_at_1pct,stability_kl,stability_js,clean_auc,robust_auc,robustness_score
config_baseline,,AutomatedCMS_mZprime-2000_mDark-1_rinv-0.2_alpha-peak.h5,False,0.6124149460841174,0.5453743622379438,0.02458435365382137,0.17777130300382388,0.03667616664717335,0.612395167350769,0.5959588289260864,0.9731605680433657
config_baseline,,AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-high.h5,True,0.9034013301471108,0.8880177977365838,0.2612904201578995,0.0,0.0,0.9033924341201782,0.8288977742195129,0.9175389818565214
config_baseline,,AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-low.h5,False,0.8083536178802471,0.7781649339263239,0.21293594046403036,0.025427953897626015,0.006181151769738338,0.8083429336547852,0.7310158610343933,0.9043387782574277
config_baseline,,AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-peak.h5,False,0.6565406250066865,0.5932708376292635,0.038450428475142025,0.15236754160060828,0.032444670815814314,0.6565495133399963,0.6458321809768677,0.9836762770432842
config_baseline,,AutomatedCMS_mZprime-2000_mDark-1_rinv-0.8_alpha-peak.h5,False,0.8264264097662155,0.7777890275471064,0.18783971211155678,0.025037153886189045,0.0060628976136260695,0.8264357447624207,0.8420201539993286,1.018857375586275
config_baseline,,AutomatedCMS_mZprime-2000_mDark-5_rinv-0.3_alpha-peak.h5,False,0.5149109588888517,0.43571801869037885,0.0048451231329568615,0.21649599653311025,0.044264607412595205,0.5149123072624207,0.5692327618598938,1.1054945741854043
config_alpha-0.2_eps-0.1_iter-10,"{'alpha': 0.2, 'grad_eps': 0.1, 'grad_iter': 10, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.2_alpha-peak.h5,False,0.6004184057223869,0.5375698652953128,0.023875499420028354,0.09541573976194376,0.02021670860813267,0.6004250049591064,0.5826951861381531,0.9704712184294175
config_alpha-0.2_eps-0.1_iter-10,"{'alpha': 0.2, 'grad_eps': 0.1, 'grad_iter': 10, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-high.h5,True,0.8777390709539511,0.8583417535678832,0.21773193381529993,0.0,0.0,0.877731204032898,0.8366625905036926,0.9532104893382985
config_alpha-0.2_eps-0.1_iter-10,"{'alpha': 0.2, 'grad_eps': 0.1, 'grad_iter': 10, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-low.h5,False,0.7810958811226227,0.7502060394814896,0.1934919013570699,0.020140501018838533,0.004950183393703694,0.781084418296814,0.7552515864372253,0.9669269655693322
config_alpha-0.2_eps-0.1_iter-10,"{'alpha': 0.2, 'grad_eps': 0.1, 'grad_iter': 10, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-peak.h5,False,0.6394217633276631,0.5788741017328198,0.03479153962191482,0.08144044992039923,0.017911753350505905,0.6394240856170654,0.6187357306480408,0.9676453304866367
config_alpha-0.2_eps-0.1_iter-10,"{'alpha': 0.2, 'grad_eps': 0.1, 'grad_iter': 10, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.8_alpha-peak.h5,False,0.7792804923092302,0.739544995955715,0.17025902462795667,0.014288185633928925,0.0035233755510631097,0.7792774438858032,0.7625941038131714,0.9785912704088524
config_alpha-0.2_eps-0.1_iter-10,"{'alpha': 0.2, 'grad_eps': 0.1, 'grad_iter': 10, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-5_rinv-0.3_alpha-peak.h5,False,0.5130481193125495,0.43384145047175177,0.004009757075550506,0.09949094246422194,0.02153423503310129,0.5130196213722229,0.5077517628669739,0.9897316627166061
config_alpha-0.2_eps-0.1_iter-20,"{'alpha': 0.2, 'grad_eps': 0.1, 'grad_iter': 20, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.2_alpha-peak.h5,False,0.6063002113674443,0.5383138277437418,0.024133264595953087,0.06967633334199505,0.015729767439260127,0.6062796115875244,0.5965093970298767,0.9838849692931868
config_alpha-0.2_eps-0.1_iter-20,"{'alpha': 0.2, 'grad_eps': 0.1, 'grad_iter': 20, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-high.h5,True,0.8640148183550622,0.8400100869293596,0.17795456607882876,0.0,0.0,0.8640172481536865,0.8388093709945679,0.9708247986796731
config_alpha-0.2_eps-0.1_iter-20,"{'alpha': 0.2, 'grad_eps': 0.1, 'grad_iter': 20, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-low.h5,False,0.7539462240381342,0.7237920670113076,0.15493214650518022,0.01833572208085657,0.004485583415866028,0.7539451122283936,0.707313597202301,0.9381499869555937
config_alpha-0.2_eps-0.1_iter-20,"{'alpha': 0.2, 'grad_eps': 0.1, 'grad_iter': 20, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-peak.h5,False,0.6438870083769298,0.5806723565064145,0.0366530795647848,0.05827856727680875,0.013479879688565578,0.6438732147216797,0.6357259154319763,0.9873464230171073
config_alpha-0.2_eps-0.1_iter-20,"{'alpha': 0.2, 'grad_eps': 0.1, 'grad_iter': 20, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.8_alpha-peak.h5,False,0.782868916794742,0.7323506557615636,0.15455261086329047,0.010706685184594888,0.002671786587262788,0.7828604578971863,0.8023984432220459,1.0249571748422954
config_alpha-0.2_eps-0.1_iter-20,"{'alpha': 0.2, 'grad_eps': 0.1, 'grad_iter': 20, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-5_rinv-0.3_alpha-peak.h5,False,0.5413268348536995,0.45093772238891267,0.005145854913623149,0.07950358331398392,0.01773380913195431,0.5413205623626709,0.56577068567276,1.045167549526242
config_alpha-0.2_eps-0.5_iter-10,"{'alpha': 0.2, 'grad_eps': 0.5, 'grad_iter': 10, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.2_alpha-peak.h5,False,0.5917529642995231,0.5259592133333608,0.02168449542466813,0.06708129743330163,0.01473875499441894,0.5917555093765259,0.5916856527328491,0.999881950159196
config_alpha-0.2_eps-0.5_iter-10,"{'alpha': 0.2, 'grad_eps': 0.5, 'grad_iter': 10, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-high.h5,True,0.8458203454429959,0.8240688070821608,0.17066456940621313,0.0,0.0,0.8458106517791748,0.8100578784942627,0.957729577879274
config_alpha-0.2_eps-0.5_iter-10,"{'alpha': 0.2, 'grad_eps': 0.5, 'grad_iter': 10, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-low.h5,False,0.759717365630624,0.7346061331695029,0.18940609951845908,0.018350058788521095,0.004470015911552829,0.759713888168335,0.6740401983261108,0.8872290066346123
config_alpha-0.2_eps-0.5_iter-10,"{'alpha': 0.2, 'grad_eps': 0.5, 'grad_iter': 10, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-peak.h5,False,0.6270002871478855,0.5645388918306635,0.03286580864653208,0.05719601140941541,0.012929935411177828,0.6270169615745544,0.6256146430969238,0.997763507905577
config_alpha-0.2_eps-0.5_iter-10,"{'alpha': 0.2, 'grad_eps': 0.5, 'grad_iter': 10, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.8_alpha-peak.h5,False,0.7832942979595406,0.7286662543773936,0.15440266896577576,0.00960820018056907,0.002352204132263474,0.7832851409912109,0.7920497059822083,1.0111894947731375
config_alpha-0.2_eps-0.5_iter-10,"{'alpha': 0.2, 'grad_eps': 0.5, 'grad_iter': 10, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-5_rinv-0.3_alpha-peak.h5,False,0.5500504783862955,0.45755216648520425,0.003675610652587964,0.04949856491983334,0.011139677072252378,0.5500388741493225,0.5920108556747437,1.0763073002618844
config_alpha-0.2_eps-0.5_iter-20,"{'alpha': 0.2, 'grad_eps': 0.5, 'grad_iter': 20, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.2_alpha-peak.h5,False,0.5963529080207931,0.5359554176980837,0.0229411006573012,0.07290886523911941,0.01598778551636823,0.5963331460952759,0.5795425772666931,0.9718436432076172
config_alpha-0.2_eps-0.5_iter-20,"{'alpha': 0.2, 'grad_eps': 0.5, 'grad_iter': 20, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-high.h5,True,0.8587318422618146,0.8313918897771978,0.16056142049063796,0.0,0.0,0.8587260246276855,0.8143216967582703,0.9482904598254519
config_alpha-0.2_eps-0.5_iter-20,"{'alpha': 0.2, 'grad_eps': 0.5, 'grad_iter': 20, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-low.h5,False,0.7642640366749356,0.7184510508802145,0.12625857288778636,0.018804711840936333,0.00458657480539975,0.7642561793327332,0.7260478734970093,0.9500058921746851
config_alpha-0.2_eps-0.5_iter-20,"{'alpha': 0.2, 'grad_eps': 0.5, 'grad_iter': 20, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-peak.h5,False,0.6364656819762279,0.5768022674970167,0.033957056199248964,0.06038458953692889,0.01373880732861692,0.6364718079566956,0.6202890872955322,0.974574332344561
config_alpha-0.2_eps-0.5_iter-20,"{'alpha': 0.2, 'grad_eps': 0.5, 'grad_iter': 20, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.8_alpha-peak.h5,False,0.7966473401556897,0.730096823920101,0.1243393185140758,0.010807205019511358,0.0026793641553737825,0.7966114282608032,0.7910795211791992,0.9930557020834091
config_alpha-0.2_eps-0.5_iter-20,"{'alpha': 0.2, 'grad_eps': 0.5, 'grad_iter': 20, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-5_rinv-0.3_alpha-peak.h5,False,0.5373218779028971,0.466734177676621,0.011528051592207706,0.06797037739687053,0.015202935204220835,0.5373167395591736,0.5256878137588501,0.9783574101751155
